Regulator Gene	Target Gene	interaction	Motif id	NES	Assembly
Nr1h3	Tmem119	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Prkcd	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Ptafr	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Lsp1	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	P2ry6	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Vasp	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Arhgef19	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Itm2c	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Elf4	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Aif1	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Lgals9	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Tspo	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Lcn2	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Csf1r	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Sla	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Tspan14	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Ccrl2	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Plau	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Rac2	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Osm	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Abcc3	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Lcp2	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Fgr	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Slco2b1	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	C1qa	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Cd180	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	S100a9	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Arpc1b	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Rin3	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	C1qb	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Socs3	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Tnfaip2	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Cyth4	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Arhgap25	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Ly6h	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Rasal3	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Hck	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Rps6ka1	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Laptm5	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Lrrc25	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Cmklr1	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
Nr1h3	Cd74	regulates via transfac_pro-M02119	transfac_pro-M02119	4.3848	mm9
